pix_1,pix_2,pix_3,pix_4,pix_5,pix_6,pix_7,pix_8,pix_9,pix_10,pix_11,pix_12,pix_13,pix_14,pix_15,pix_16,pix_17,pix_18,pix_19,pix_20,pix_21,pix_22,pix_23,pix_24,pix_25,pix_26,pix_27,pix_28,pix_29,pix_30,pix_31,pix_32,pix_33,pix_34,pix_35,pix_36,pix_37,pix_38,pix_39,pix_40,pix_41,pix_42,pix_43,pix_44,pix_45,pix_46,pix_47,pix_48,pix_49,pix_50,pix_51,pix_52,pix_53,pix_54,pix_55,pix_56,pix_57,pix_58,pix_59,pix_60,pix_61,pix_62,pix_63,pix_64,pix_65,pix_66,pix_67,pix_68,pix_69,pix_70,pix_71,pix_72,pix_73,pix_74,pix_75,pix_76,pix_77,pix_78,pix_79,pix_80,pix_81,pix_82,pix_83,pix_84,pix_85,pix_86,pix_87,pix_88,pix_89,pix_90,pix_91,pix_92,pix_93,pix_94,pix_95,pix_96,pix_97,pix_98,pix_99,pix_100,pix_101,pix_102,pix_103,pix_104,pix_105,pix_106,pix_107,pix_108,pix_109,pix_110,pix_111,pix_112,pix_113,pix_114,pix_115,pix_116,pix_117,pix_118,pix_119,pix_120,pix_121,pix_122,pix_123,pix_124,pix_125,pix_126,pix_127,pix_128,pix_129,pix_130,pix_131,pix_132,pix_133,pix_134,pix_135,pix_136,pix_137,pix_138,pix_139,pix_140,pix_141,pix_142,pix_143,pix_144,pix_145,pix_146,pix_147,pix_148,pix_149,pix_150,pix_151,pix_152,pix_153,pix_154,pix_155,pix_156,pix_157,pix_158,pix_159,pix_160,pix_161,pix_162,pix_163,pix_164,pix_165,pix_166,pix_167,pix_168,pix_169,pix_170,pix_171,pix_172,pix_173,pix_174,pix_175,pix_176,pix_177,pix_178,pix_179,pix_180,pix_181,pix_182,pix_183,pix_184,pix_185,pix_186,pix_187,pix_188,pix_189,pix_190,pix_191,pix_192,pix_193,pix_194,pix_195,pix_196,pix_197,pix_198,pix_199,pix_200,pix_201,pix_202,pix_203,pix_204,pix_205,pix_206,pix_207,pix_208,pix_209,pix_210,pix_211,pix_212,pix_213,pix_214,pix_215,pix_216,pix_217,pix_218,pix_219,pix_220,pix_221,pix_222,pix_223,pix_224,pix_225,pix_226,pix_227,pix_228,pix_229,pix_230,pix_231,pix_232,pix_233,pix_234,pix_235,pix_236,pix_237,pix_238,pix_239,pix_240
0,0,0,0,0,0,0,1,4,5,6,6,6,5,0,0,0,0,0,0,0,0,3,6,6,6,6,6,6,1,0,0,0,0,0,0,0,3,6,6,6,6,6,6,6,0,0,0,0,0,0,2,5,6,6,6,6,6,6,6,0,0,0,0,0,4,6,6,6,6,6,6,6,6,5,0,0,2,4,6,6,6,6,6,6,6,6,6,4,0,0,3,6,6,6,6,6,6,6,6,6,6,6,6,2,0,3,6,6,6,6,6,6,6,6,6,6,6,4,0,3,6,6,6,6,6,6,6,6,6,6,6,6,4,0,3,6,6,6,6,6,6,6,6,6,6,6,6,6,5,0,0,2,2,2,5,6,6,6,6,6,6,6,6,6,0,0,0,0,0,3,6,6,6,6,6,6,6,6,3,0,0,0,0,0,3,6,6,6,6,6,6,6,3,0,0,0,0,0,0,3,6,6,6,6,6,6,6,5,1,0,0,0,0,0,0,2,5,6,6,6,6,6,5,1,0,0,0,0,0,0,0,2,4,4,4,4,4,2,0
0,0,0,0,0,2,4,6,4,4,1,0,0,0,0,0,0,0,3,6,6,6,6,6,6,6,3,0,0,0,0,0,3,6,6,6,6,6,6,6,6,6,0,0,0,0,0,6,6,6,3,0,1,6,6,6,6,0,0,0,0,0,1,4,1,0,0,0,3,6,6,6,0,0,0,0,0,0,0,0,0,0,0,3,6,6,6,0,0,0,0,0,0,0,0,0,0,0,5,6,6,6,0,0,0,0,0,0,0,0,0,0,3,6,6,6,4,0,0,0,0,0,0,0,0,1,5,6,6,4,3,0,0,0,0,0,0,0,0,3,6,6,6,3,0,0,0,0,0,0,0,0,0,2,6,6,6,6,2,0,0,0,0,0,0,0,0,3,6,6,6,5,1,0,0,0,0,0,0,0,0,4,6,6,6,6,0,0,0,1,1,0,0,0,0,3,6,6,6,6,6,6,6,6,6,6,6,4,2,0,5,6,6,6,6,6,6,6,6,6,6,6,6,6,3,0,3,4,4,4,4,4,4,4,4,4,4,4,4,1
3,4,5,6,5,5,6,6,6,6,6,6,2,0,0,3,4,6,6,6,6,6,6,6,6,6,5,1,0,0,0,0,0,0,0,0,3,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,3,0,0,0,0,0,0,0,0,0,3,6,6,6,6,6,5,1,0,0,0,0,0,0,0,5,6,6,6,6,6,6,6,2,0,0,0,0,0,0,4,6,6,6,6,6,6,6,6,0,0,0,0,0,0,1,4,4,2,3,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,5,6,6,6,0,0,0,0,0,0,0,0,0,0,0,3,6,6,6,0,0,0,0,0,0,0,0,0,0,0,2,6,6,6,0,0,0,0,0,0,0,0,0,0,0,2,6,6,6,0,0,0,0,1,4,4,4,1,0,0,6,6,6,4,0,0,0,0,2,6,6,6,6,4,5,6,6,6,3,0,0,0,0,0,1,4,4,4,4,4,4,4,4,1
0,0,0,0,0,0,1,5,6,5,1,0,0,0,0,0,0,0,0,0,0,5,6,6,6,2,0,0,0,0,0,0,0,0,0,0,6,6,6,4,0,0,0,0,0,0,0,0,0,0,1,6,6,6,3,0,0,0,0,0,0,0,0,0,1,5,6,6,6,1,0,0,0,0,0,0,0,0,0,5,6,6,6,4,0,0,0,0,0,0,0,0,0,0,3,6,6,4,0,0,0,0,1,4,1,0,0,0,2,6,6,6,0,0,0,0,3,6,6,6,0,0,0,6,6,6,6,0,0,0,0,6,6,6,6,0,1,5,6,6,6,6,3,0,0,0,6,6,6,6,3,6,6,6,6,6,6,6,6,6,6,6,6,6,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,5,1,0,2,2,3,4,6,6,6,6,6,6,1,2,0,0,0,0,0,0,0,0,3,6,6,6,6,0,0,0,0,0,0,0,0,0,0,2,6,6,6,4,0,0,0,0,0,0,0,0,0,0,1,4,4,4,2
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,4,6,6,6,6,6,6,6,6,6,6,6,6,3,0,0,0,0,0,2,2,2,2,6,6,6,6,2,0,0,0,0,0,0,0,0,0,0,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,6,6,6,2,0,0,0,0,0,0,0,0,0,0,4,6,6,6,0,0,0,0,0,0,0,0,0,0,0,6,6,6,4,0,0,0,0,0,0,0,0,0,0,4,6,6,6,0,0,0,0,0,0,0,0,0,0,0,6,6,6,4,0,0,0,0,0,0,0,0,0,0,4,6,6,6,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,4,4,4,3,0,0,0,0,0
0,0,0,0,0,0,0,0,3,4,6,6,2,0,0,0,0,0,0,0,0,0,3,6,6,6,5,1,0,0,0,0,0,0,0,1,5,6,6,5,1,0,0,0,0,0,0,0,0,2,6,6,6,3,0,0,0,0,0,0,0,0,0,1,6,6,6,2,0,0,0,0,0,0,0,0,0,1,5,6,6,2,0,0,0,0,0,0,0,0,0,1,5,6,6,4,0,0,0,0,0,0,0,0,0,0,5,6,6,4,0,0,0,0,0,0,0,0,0,0,4,6,6,6,5,2,3,4,4,4,4,3,1,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,5,1,6,6,6,6,5,3,2,2,1,0,1,5,6,6,5,6,6,6,4,0,0,0,0,0,0,0,1,6,6,6,6,6,6,3,0,0,0,0,0,0,0,0,6,6,6,5,6,6,6,1,0,0,0,0,0,0,1,6,6,6,0,3,6,6,6,4,4,4,4,6,6,6,6,6,2,0,0,3,4,4,4,4,4,4,4,4,4,4,3,0
0,0,3,6,6,5,4,5,5,2,0,0,0,0,0,0,2,6,6,6,6,6,6,6,6,5,0,0,0,0,1,6,6,6,1,0,3,6,6,6,6,2,0,0,0,5,6,6,6,0,0,0,1,6,6,6,6,0,0,0,6,6,6,3,0,0,0,0,1,6,6,6,4,0,0,6,6,6,4,0,0,0,0,0,3,6,6,6,1,0,6,6,6,6,0,0,0,0,0,3,6,6,6,5,0,3,6,6,6,0,0,0,0,0,0,3,6,6,6,0,3,6,6,6,0,0,0,0,0,0,0,6,6,6,0,1,6,6,6,3,0,0,0,0,0,0,6,6,6,2,0,6,6,6,6,5,0,0,0,0,0,6,6,6,6,0,2,6,6,6,6,5,0,0,0,0,2,6,6,6,0,0,1,6,6,6,6,4,0,0,0,0,6,6,6,0,0,0,1,5,6,6,6,2,0,0,1,6,6,6,0,0,0,0,0,4,6,6,6,4,4,6,6,6,6,0,0,0,0,0,1,4,4,4,4,4,4,4,4,3
0,0,5,6,6,6,6,6,6,6,6,6,6,4,1,0,0,6,6,6,6,6,6,6,6,6,6,6,5,1,0,2,6,6,6,6,6,3,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,5,3,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,1,0,0,0,0,0,6,6,6,6,6,6,6,6,6,5,0,0,0,0,0,6,6,6,6,5,5,6,6,6,6,0,0,0,0,4,6,6,6,6,0,0,6,6,6,6,0,0,0,0,6,6,6,6,2,0,0,6,6,6,6,0,0,0,0,5,6,6,5,0,0,0,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,0,0,0,0,0,0,0,0,0,0,4,6,6,6,3,0,0,0,0,0,0,1,3,4,5,6,6,6,6,2,0,0,0,0,0,3,6,6,6,6,6,6,6,5,0,0,0,0,0,0,3,4,4,4,4,4,4,3,0,0,0,0,0,0
0,0,3,6,6,6,6,6,6,4,4,3,0,0,0,0,0,6,6,6,3,2,3,5,6,6,6,5,0,0,0,0,6,6,6,0,0,0,0,1,5,6,6,2,0,0,0,4,6,6,2,0,0,0,0,1,6,6,6,0,0,0,0,4,6,6,2,0,0,0,0,6,6,6,0,0,0,0,0,6,6,6,0,0,0,0,6,6,6,2,0,0,1,5,6,6,6,3,0,0,2,6,6,6,2,0,3,6,6,6,6,6,6,5,4,6,6,6,3,0,0,6,6,6,3,2,5,6,6,6,6,6,4,0,0,2,6,6,4,0,0,0,3,6,6,6,6,0,0,0,6,6,6,0,0,0,0,0,2,6,6,6,1,0,0,6,6,6,0,0,0,0,0,0,1,6,6,5,1,0,6,6,6,0,0,0,0,0,0,0,1,6,6,5,0,6,6,6,4,0,0,0,0,0,0,1,6,6,6,0,5,6,6,6,3,2,2,2,2,3,6,6,6,4,0,0,3,4,4,4,4,4,4,4,4,4,4,3,0,0
0,0,0,1,3,4,4,4,4,5,6,4,4,3,0,0,2,4,6,6,6,6,6,6,6,6,6,6,6,2,5,6,6,6,6,6,6,4,4,6,6,6,6,6,6,6,6,6,6,6,4,0,0,0,1,5,6,6,6,6,6,6,6,6,6,0,0,0,0,0,0,6,6,6,6,2,6,6,6,6,4,0,0,0,0,1,6,6,6,6,0,1,5,6,6,6,6,6,6,6,6,6,6,6,6,0,0,0,2,2,4,6,6,6,6,6,6,6,6,6,0,0,0,0,0,0,0,0,0,3,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,3,6,6,6,6,0,0,0,0,0,0,0,0,0,2,6,6,6,6,6,0,0,0,0,0,0,0,0,0,3,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,3,6,6,6,5,0,0,0,0,0,0,0,0,0,0,0,6,6,6,1,0,0,0,0,0,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0
0,3,4,5,6,6,3,0,0,0,0,0,0,0,0,2,6,6,6,6,6,6,0,0,0,0,0,0,0,0,0,4,6,6,6,6,1,0,0,0,0,0,0,0,0,0,3,6,6,6,6,3,0,0,0,0,0,0,0,0,0,1,6,6,6,6,5,0,0,0,0,1,2,2,1,0,0,6,6,6,6,0,0,0,0,5,6,6,6,6,0,0,6,6,6,6,0,0,0,0,3,6,6,6,6,0,0,6,6,6,6,0,0,0,0,0,3,6,6,6,0,2,6,6,6,6,3,2,2,1,0,4,6,6,6,0,3,6,6,6,6,6,6,6,6,6,6,6,6,6,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0,1,2,2,3,4,3,2,2,3,5,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,4,6,6,6,0,0,0,0,0,0,0,0,0,0,0,3,6,6,6,0,0,0,0,0,0,0,0,0,0,0,3,6,6,6,0,0,0,0,0,0,0,0,0,0,0,1,4,4,4
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,2,0,0,0,0,2,2,1,0,0,0,5,6,6,6,6,1,0,0,3,6,6,6,5,4,5,6,6,6,6,6,3,0,0,4,6,6,6,6,6,6,6,6,6,6,6,3,0,5,6,6,6,6,6,6,6,6,1,1,6,6,6,0,6,6,6,6,6,6,6,6,2,0,0,3,6,6,3,6,5,1,0,1,6,6,4,0,0,0,0,6,6,3,4,0,0,0,0,6,6,1,0,0,0,1,6,6,6,6,0,0,0,4,6,6,6,4,6,6,6,6,3,6,6,4,0,3,6,6,6,6,6,6,6,6,6,6,3,6,6,6,6,6,6,6,6,6,6,6,6,6,3,1,6,6,6,6,6,6,3,2,5,6,6,6,5,1,0,6,6,6,6,6,2,0,0,0,2,2,1,0,0,0,4,6,6,6,6,0,0,0,0,0,0,0,0,0,0,1,4,2,2,1,0,0,0,0,0,0,0,0,0
